animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,class_name
0,aardvark,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,0,0,1,1.0,Mammal
1,antelope,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
2,bass,0.0,0,1,0,0,1,1,1,1,0,0.0,1,0.0,1,0,0,4.0,Fish
3,bear,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,0,0,1,1.0,Mammal
4,boar,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
5,buffalo,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
6,calf,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,1,1,1.0,Mammal
7,carp,0.0,0,1,0,0,1,0,1,1,0,0.0,1,0.0,1,1,0,4.0,Fish
8,catfish,0.0,0,1,0,0,1,1,1,1,0,0.0,1,0.0,1,0,0,4.0,Fish
9,cavy,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,0,1,0,1.0,Mammal
10,cheetah,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
11,chicken,0.0,1,1,0,1,0,0,0,1,1,0.0,0,2.0,1,1,0,2.0,Bird
12,chub,0.0,0,1,0,0,1,1,1,1,0,0.0,1,0.0,1,0,0,4.0,Fish
13,clam,0.0,0,1,0,0,0,1,0,0,0,0.0,0,0.0,0,0,0,7.0,Invertebrate
14,crab,0.0,0,1,0,0,1,1,0,0,0,0.0,0,4.0,0,0,0,7.0,Invertebrate
15,crayfish,0.0,0,1,0,0,1,1,0,0,0,0.0,0,6.0,0,0,0,7.0,Invertebrate
16,crow,0.0,1,1,0,1,0,1,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
17,deer,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
18,dogfish,0.0,0,1,0,0,1,1,1,1,0,0.0,1,0.0,1,0,1,4.0,Fish
19,dolphin,0.0,0,0,1,0,1,1,1,1,1,0.0,1,0.0,1,0,1,1.0,Mammal
20,dove,0.0,1,1,0,1,0,0,0,1,1,0.0,0,2.0,1,1,0,2.0,Bird
21,duck,0.0,1,1,0,1,1,0,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
22,elephant,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
23,flamingo,0.0,1,1,0,1,0,0,0,1,1,0.0,0,2.0,1,0,1,2.0,Bird
24,flea,0.0,0,1,0,0,0,0,0,0,1,0.0,0,6.0,0,0,0,6.0,Bug
25,frog,0.0,0,1,0,0,1,1,1,1,1,0.0,0,4.0,0,0,0,5.0,Amphibian
26,frog,0.0,0,1,0,0,1,1,1,1,1,0.0,0,4.0,0,0,0,5.0,Amphibian
27,frog,0.0,0,1,0,0,1,1,1,1,1,1.0,0,4.0,0,0,0,5.0,Amphibian
28,frog,0.0,0,1,0,0,1,1,1,1,1,1.0,0,4.0,0,0,0,5.0,Amphibian
29,fruitbat,1.0,0,0,1,1,0,0,1,1,1,0.0,0,2.0,1,0,0,1.0,Mammal
30,giraffe,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
31,girl,1.0,0,0,1,0,0,1,1,1,1,0.0,0,2.0,0,1,1,1.0,Mammal
32,gnat,0.0,0,1,0,1,0,0,0,0,1,0.0,0,6.0,0,0,0,6.0,Bug
33,goat,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,1,1,1.0,Mammal
34,gorilla,1.0,0,0,1,0,0,0,1,1,1,0.0,0,2.0,0,0,1,1.0,Mammal
35,gull,0.0,1,1,0,1,1,1,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
36,haddock,0.0,0,1,0,0,1,0,1,1,0,0.0,1,0.0,1,0,0,4.0,Fish
37,hamster,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,1,0,1.0,Mammal
38,hare,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,0,0,1.0,Mammal
39,hawk,0.0,1,1,0,1,0,1,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
40,herring,0.0,0,1,0,0,1,1,1,1,0,0.0,1,0.0,1,0,0,4.0,Fish
41,honeybee,1.0,0,1,0,1,0,0,0,0,1,1.0,0,6.0,0,1,0,6.0,Bug
42,housefly,1.0,0,1,0,1,0,0,0,0,1,0.0,0,6.0,0,0,0,6.0,Bug
43,kiwi,0.0,1,1,0,0,0,1,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
44,ladybird,0.0,0,1,0,1,0,1,0,0,1,0.0,0,6.0,0,0,0,6.0,Bug
45,lark,0.0,1,1,0,1,0,0,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
46,leopard,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
47,lion,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
48,lobster,0.0,0,1,0,0,1,1,0,0,0,0.0,0,6.0,0,0,0,7.0,Invertebrate
49,lynx,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
50,mink,1.0,0,0,1,0,1,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
51,mole,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,0,1.0,Mammal
52,mongoose,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
53,moth,1.0,0,1,0,1,0,0,0,0,1,0.0,0,6.0,0,0,0,6.0,Bug
54,newt,0.0,0,1,0,0,1,1,1,1,1,0.0,0,4.0,1,0,0,5.0,Amphibian
55,octopus,0.0,0,1,0,0,1,1,0,0,0,0.0,0,8.0,0,0,1,7.0,Invertebrate
56,opossum,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,0,1.0,Mammal
57,oryx,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
58,ostrich,0.0,1,1,0,0,0,0,0,1,1,0.0,0,2.0,1,0,1,2.0,Bird
59,parakeet,0.0,1,1,0,1,0,0,0,1,1,0.0,0,2.0,1,1,0,2.0,Bird
60,penguin,0.0,1,1,0,0,1,1,0,1,1,0.0,0,2.0,1,0,1,2.0,Bird
61,pheasant,0.0,1,1,0,1,0,0,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
62,pike,0.0,0,1,0,0,1,1,1,1,0,0.0,1,0.0,1,0,1,4.0,Fish
63,piranha,0.0,0,1,0,0,1,1,1,1,0,0.0,1,0.0,1,0,0,4.0,Fish
64,pitviper,0.0,0,1,0,0,0,1,1,1,1,1.0,0,0.0,1,0,0,3.0,Reptile
65,platypus,1.0,0,1,1,0,1,1,0,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
66,polecat,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
67,pony,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,1,1,1.0,Mammal
68,porpoise,0.0,0,0,1,0,1,1,1,1,1,0.0,1,0.0,1,0,1,1.0,Mammal
69,puma,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
70,pussycat,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,1,1,1.0,Mammal
71,raccoon,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
72,reindeer,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,1,1,1.0,Mammal
73,rhea,0.0,1,1,0,0,0,1,0,1,1,0.0,0,2.0,1,0,1,2.0,Bird
74,scorpion,0.0,0,0,0,0,0,1,0,0,1,1.0,0,8.0,1,0,0,7.0,Invertebrate
75,seahorse,0.0,0,1,0,0,1,0,1,1,0,0.0,1,0.0,1,0,0,4.0,Fish
76,seal,1.0,0,0,1,0,1,1,1,1,1,0.0,1,0.0,0,0,1,1.0,Mammal
77,sealion,1.0,0,0,1,0,1,1,1,1,1,0.0,1,2.0,1,0,1,1.0,Mammal
78,seasnake,0.0,0,0,0,0,1,1,1,1,0,1.0,0,0.0,1,0,0,3.0,Reptile
79,seawasp,0.0,0,1,0,0,1,1,0,0,0,1.0,0,0.0,0,0,0,7.0,Invertebrate
80,skimmer,0.0,1,1,0,1,1,1,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
81,skua,0.0,1,1,0,1,1,1,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
82,slowworm,0.0,0,1,0,0,0,1,1,1,1,0.0,0,0.0,1,0,0,3.0,Reptile
83,slug,0.0,0,1,0,0,0,0,0,0,1,0.0,0,0.0,0,0,0,7.0,Invertebrate
84,sole,0.0,0,1,0,0,1,0,1,1,0,0.0,1,0.0,1,0,0,4.0,Fish
85,sparrow,0.0,1,1,0,1,0,0,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
86,squirrel,1.0,0,0,1,0,0,0,1,1,1,0.0,0,2.0,1,0,0,1.0,Mammal
87,starfish,0.0,0,1,0,0,1,1,0,0,0,0.0,0,5.0,0,0,0,7.0,Invertebrate
88,stingray,0.0,0,1,0,0,1,1,1,1,0,1.0,1,0.0,1,0,1,4.0,Fish
89,swan,0.0,1,1,0,1,1,0,0,1,1,0.0,0,2.0,1,0,1,2.0,Bird
90,termite,0.0,0,1,0,0,0,0,0,0,1,0.0,0,6.0,0,0,0,6.0,Bug
91,toad,0.0,0,1,0,0,1,0,1,1,1,0.0,0,4.0,0,0,0,5.0,Amphibian
92,tortoise,0.0,0,1,0,0,0,0,0,1,1,0.0,0,4.0,1,0,1,3.0,Reptile
93,tuatara,0.0,0,1,0,0,0,1,1,1,1,0.0,0,4.0,1,0,0,3.0,Reptile
94,tuna,0.0,0,1,0,0,1,1,1,1,0,0.0,1,0.0,1,0,1,4.0,Fish
95,vampire,1.0,0,0,1,1,0,0,1,1,1,0.0,0,2.0,1,0,0,1.0,Mammal
96,vole,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,0,0,1.0,Mammal
97,vulture,0.0,1,1,0,1,0,1,0,1,1,0.0,0,2.0,1,0,1,2.0,Bird
98,wallaby,1.0,0,0,1,0,0,0,1,1,1,0.0,0,2.0,1,0,1,1.0,Mammal
99,wasp,1.0,0,1,0,1,0,0,0,0,1,1.0,0,6.0,0,0,0,6.0,Bug
100,wolf,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,Mammal
101,worm,0.0,0,1,0,0,0,0,0,0,1,0.0,0,0.0,0,0,0,7.0,Invertebrate
102,wren,0.0,1,1,0,1,0,0,0,1,1,0.0,0,2.0,1,0,0,2.0,Bird
103,,,0,1,0,1,0,0,1,1,1,0.0,0,4.0,1,0,1,1.0,
104,kangaroo,1.0,0,0,1,0,0,0,1,1,1,,0,2.0,1,0,1,1.0,
105,eagle,0.0,1,1,0,1,0,1,0,1,1,0.0,0,2.0,1,0,1,,
106,cobra,0.0,0,1,0,0,0,1,1,1,1,1.0,0,0.0,1,0,0,3.0,
107,jellyfish,0.0,0,1,0,0,1,1,0,0,0,1.0,0,,0,0,0,7.0,
108,bat,1.0,0,0,1,1,0,0,1,1,1,0.0,0,2.0,1,0,0,,
109,shark,0.0,0,1,0,0,1,1,1,1,0,0.0,1,0.0,1,0,1,4.0,
110,tiger,1.0,0,0,1,0,0,1,1,1,1,0.0,0,4.0,1,0,1,1.0,
111,zebra,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,0,1,1.0,
112,falcon,0.0,1,1,0,1,0,1,0,1,1,0.0,0,2.0,1,0,0,2.0,
113,owl,0.0,1,1,0,1,0,1,0,1,1,0.0,0,2.0,1,0,0,2.0,
114,butterfly,0.0,0,1,0,1,0,0,0,0,1,0.0,0,6.0,0,0,0,6.0,
115,dragonfly,0.0,0,1,0,1,0,1,0,0,1,0.0,0,6.0,0,0,0,6.0,
116,whale,0.0,0,0,1,0,1,1,1,1,1,0.0,1,0.0,1,0,1,1.0,
117,rhino,1.0,0,0,1,0,0,0,1,1,1,0.0,0,4.0,1,0,1,1.0,
118,hippo,1.0,0,0,1,0,1,1,1,1,1,0.0,0,4.0,1,0,1,1.0,
119,alligator,0.0,0,1,0,0,1,1,1,1,1,0.0,0,4.0,1,0,1,3.0,
120,crocodile,0.0,0,1,0,0,1,1,1,1,1,0.0,0,4.0,1,0,1,3.0,
121,turtle,0.0,0,1,0,0,1,0,0,1,1,0.0,0,4.0,1,0,0,3.0,
122,lizard,0.0,0,1,0,0,0,1,1,1,1,0.0,0,4.0,1,0,0,3.0,
123,snake,0.0,0,1,0,0,0,1,1,1,1,1.0,0,0.0,1,0,0,3.0,
